Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,3.250000,3.360000,3.090000,3.140000,3.140000,182600
2018-09-18,3.120000,3.400000,3.120000,3.200000,3.200000,225600
2018-09-19,3.190000,3.320000,3.190000,3.250000,3.250000,225200
2018-09-20,3.270000,3.450000,3.230000,3.240000,3.240000,168800
2018-09-21,3.230000,3.400000,3.160000,3.320000,3.320000,377100
2018-09-24,3.300000,3.390000,3.170000,3.250000,3.250000,233900
2018-09-25,3.250000,3.400000,3.160000,3.170000,3.170000,402100
2018-09-26,3.170000,3.350000,3.170000,3.260000,3.260000,244300
2018-09-27,3.280000,3.320000,3.150000,3.270000,3.270000,239700
2018-09-28,3.230000,3.260000,3.170000,3.190000,3.190000,238000
2018-10-01,3.210000,3.210000,3.040000,3.140000,3.140000,285000
2018-10-02,3.160000,3.160000,2.840000,2.850000,2.850000,253300
2018-10-03,2.850000,2.850000,2.550000,2.630000,2.630000,522100
2018-10-04,2.650000,2.750000,2.550000,2.620000,2.620000,283100
2018-10-05,2.640000,2.710000,2.600000,2.660000,2.660000,188600
2018-10-08,2.650000,2.760000,2.600000,2.620000,2.620000,383600
2018-10-09,2.600000,2.790000,2.600000,2.720000,2.720000,187500
2018-10-10,2.700000,2.780000,2.610000,2.620000,2.620000,181000
2018-10-11,2.610000,2.730000,2.430000,2.450000,2.450000,206500
2018-10-12,2.450000,2.560000,2.450000,2.530000,2.530000,106100
2018-10-15,2.520000,2.660000,2.490000,2.620000,2.620000,109200
2018-10-16,2.630000,2.850000,2.630000,2.850000,2.850000,119000
2018-10-17,2.820000,2.850000,2.700000,2.730000,2.730000,120100
2018-10-18,2.690000,2.760000,2.450000,2.510000,2.510000,146200
2018-10-19,2.510000,2.610000,2.500000,2.500000,2.500000,59100
2018-10-22,2.560000,2.620000,2.500000,2.580000,2.580000,106100
2018-10-23,2.520000,2.700000,2.470000,2.670000,2.670000,107400
2018-10-24,2.660000,2.730000,2.530000,2.550000,2.550000,111500
2018-10-25,2.550000,2.610000,2.470000,2.480000,2.480000,155300
2018-10-26,2.450000,2.490000,2.300000,2.390000,2.390000,118000
2018-10-29,2.400000,2.400000,2.270000,2.280000,2.280000,123000
2018-10-30,2.280000,2.350000,2.080000,2.240000,2.240000,200100
2018-10-31,2.050000,2.290000,2.050000,2.270000,2.270000,141700
2018-11-01,2.350000,2.550000,2.280000,2.510000,2.510000,188000
2018-11-02,2.520000,2.560000,2.380000,2.540000,2.540000,92000
2018-11-05,2.550000,2.680000,2.510000,2.530000,2.530000,187200
2018-11-06,2.510000,3.000000,2.510000,2.980000,2.980000,181800
2018-11-07,2.950000,3.450000,2.780000,3.440000,3.440000,191200
2018-11-08,3.240000,4.570000,3.240000,4.010000,4.010000,576000
2018-11-09,3.820000,3.900000,3.560000,3.730000,3.730000,181700
2018-11-12,3.480000,3.620000,3.250000,3.430000,3.430000,96800
2018-11-13,3.350000,3.800000,3.350000,3.490000,3.490000,79700
2018-11-14,3.540000,3.680000,3.200000,3.280000,3.280000,243500
2018-11-15,2.090000,2.100000,1.730000,1.960000,1.960000,1007400
2018-11-16,2.010000,2.010000,1.710000,1.960000,1.960000,687300
2018-11-19,1.980000,1.980000,1.590000,1.660000,1.660000,534400
2018-11-20,1.670000,1.730000,1.600000,1.610000,1.610000,290500
2018-11-21,1.620000,1.750000,1.600000,1.680000,1.680000,202800
2018-11-23,1.670000,1.740000,1.650000,1.680000,1.680000,65500
2018-11-26,1.710000,1.850000,1.510000,1.550000,1.550000,269000
2018-11-27,1.540000,1.560000,1.400000,1.410000,1.410000,332600
2018-11-28,1.410000,1.460000,1.210000,1.360000,1.360000,532300
2018-11-29,1.350000,1.400000,1.270000,1.270000,1.270000,255500
2018-11-30,1.290000,1.420000,1.260000,1.320000,1.320000,558000
2018-12-03,1.380000,1.460000,1.320000,1.440000,1.440000,162800
2018-12-04,1.450000,1.540000,1.350000,1.370000,1.370000,339100
2018-12-06,1.370000,1.800000,1.350000,1.800000,1.800000,546800
2018-12-07,1.770000,2.060000,1.760000,1.860000,1.860000,555500
2018-12-10,1.830000,2.400000,1.670000,2.360000,2.360000,1346300
2018-12-11,2.100000,2.340000,1.940000,2.100000,2.100000,630000
2018-12-12,2.120000,2.130000,1.760000,1.820000,1.820000,366000
2018-12-13,1.840000,1.890000,1.480000,1.560000,1.560000,343400
2018-12-14,1.540000,1.780000,1.510000,1.560000,1.560000,162700
2018-12-17,1.560000,1.660000,1.400000,1.430000,1.430000,276800
2018-12-18,1.440000,1.500000,1.430000,1.440000,1.440000,140100
2018-12-19,1.440000,1.490000,1.300000,1.310000,1.310000,265500
2018-12-20,1.320000,1.370000,1.150000,1.170000,1.170000,299400
2018-12-21,1.180000,1.340000,1.050000,1.070000,1.070000,386900
2018-12-24,1.080000,1.190000,1.060000,1.070000,1.070000,66200
2018-12-26,1.100000,1.340000,1.070000,1.300000,1.300000,423600
2018-12-27,1.270000,1.300000,1.170000,1.230000,1.230000,195000
